YEAR,Colombia/CGPD RELATIVE TO THE UNITED STATES (unit US=100),Colombia/CONSUMPTION SHARE OF CGPD (unit %),Colombia/CONSUMPTION SHARE OF RGDPL (unit %),Colombia/CURRENT SAVINGS (unit %),Colombia/EXCHANGE RATE (unit US=1),Colombia/GOVERNMENT SHARE OF CGDP (unit %),Colombia/GOVERNMENT SHARE OF RGDPL (unit %),Colombia/INVESTMENT SHARE OF CGDP (unit %),Colombia/INVESTMENT SHARE OF RGDPL (unit %),Colombia/OPENNESS IN CONSTANT PRICES (unit %),Colombia/OPENNESS IN CURRENT PRICES (unit %),Colombia/POPULATION (unit 000S),Colombia/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),Colombia/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),Colombia/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),Colombia/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),Colombia/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),Colombia/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1950,20.7434320590,76.9134605880,76.0542153080,15.1730680560,1.9498241470,7.9134713563,11.7457972850,14.7798647880,12.6622970810,24.5024127470,20.5475833090,12454.8534100000,93.7998599830,87.2215885780,95.6461288310,109.7646804800,,400.8773964700
1951,19.5612671710,76.0578552400,74.0762424830,14.9486334190,2.4005528560,8.9935113408,12.7672907820,14.1586280960,11.7365390810,24.7366344080,26.0843655100,12776.9617100000,81.1566924430,68.5147253840,80.8686312240,87.1683710840,,427.3087420700
1952,19.9036862580,76.1057262490,74.1919588710,14.8360894890,2.5104862510,9.0581842620,12.7878135000,14.3110664900,11.6901030650,23.4521962570,25.1629295430,13206.4394200000,76.5561347800,66.7441274380,76.6497252120,83.4171801570,,450.5198888500
1953,20.4101251800,74.2054479080,73.0988898440,15.8283966350,2.5104862510,9.9661554575,14.2964537800,15.1978247520,12.6046563760,28.4024341710,29.5172522500,13635.9171300000,78.6664186710,68.5153719830,77.5427724590,77.9762427900,,480.3552270000
1954,22.3731376050,73.6387834080,74.3709776560,16.7883216770,2.5104862510,9.5728949155,13.8283671990,16.8843191860,14.5536930400,26.6126996540,28.8255684670,13958.0254200000,84.8050475370,76.9291884780,83.8239916630,83.4543863180,,515.9082468600
1955,20.9093425920,74.7241385150,74.4353497000,15.2127112730,2.5104862510,10.0631502120,13.8904634160,17.5146770500,14.7864572590,26.3662150610,26.1434905220,14387.5031300000,84.4220365340,77.3981869330,84.1199087820,86.6929200070,,517.8844225700
1956,20.7133274290,73.6502669250,73.8390307910,16.7552624130,2.5104862510,9.5944706620,13.1050408240,17.3631008110,14.4314188710,24.8734529590,24.4761667390,14816.9808500000,89.9109995050,79.0566858870,89.6134294270,94.1846319650,,529.7276611200
1957,20.3096595650,74.5878058730,74.8528784790,16.8125736410,3.7977109180,8.5996204863,11.5547701440,15.7504215900,12.9683586650,22.6339174390,28.2408318710,15246.4585700000,65.0467580530,59.1638542270,67.8384106250,85.7948273080,,537.1886159600
1958,20.3696582150,75.1680877750,74.2830288740,15.8274123050,6.4011411730,9.0044999197,11.7988515090,13.4289487740,10.9807553340,21.2266135940,33.8703541190,15783.3057100000,42.6704538880,37.8935691300,45.0061924420,62.8496305760,,539.2176646200
1959,19.8314775700,75.2912832550,73.6230962830,15.9178310820,6.4011411730,8.7908856629,11.2290714520,13.5307775190,10.8754405030,21.9871868700,30.8661513520,16212.7834300000,45.5939264000,41.5065322260,48.1244714410,66.5051986470,,560.5385901200
