YEAR,Hong Kong/CGPD RELATIVE TO THE UNITED STATES (unit US=100),Hong Kong/CONSUMPTION SHARE OF CGPD (unit %),Hong Kong/CONSUMPTION SHARE OF RGDPL (unit %),Hong Kong/CURRENT SAVINGS (unit %),Hong Kong/EXCHANGE RATE (unit US=1),Hong Kong/GOVERNMENT SHARE OF CGDP (unit %),Hong Kong/GOVERNMENT SHARE OF RGDPL (unit %),Hong Kong/INVESTMENT SHARE OF CGDP (unit %),Hong Kong/INVESTMENT SHARE OF RGDPL (unit %),Hong Kong/OPENNESS IN CONSTANT PRICES (unit %),Hong Kong/OPENNESS IN CURRENT PRICES (unit %),Hong Kong/POPULATION (unit 000S),Hong Kong/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),Hong Kong/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),Hong Kong/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),Hong Kong/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),Hong Kong/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),Hong Kong/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1950,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,
1960,23.5913484320,72.0206893520,69.3919133600,26.6728946490,5.7143001560,1.3064159988,1.6194971156,36.8203115760,29.4296690690,104.2497913700,186.7853310800,3064.0000000000,57.5412891740,369.9159312300,57.0049847180,44.8536241190,100.4527943200,681.4169991700
1961,23.6123329940,73.7422261590,70.8925167900,24.9503644270,5.7143001560,1.3074094136,1.5778849108,35.9760923530,28.8539138720,98.2855703060,173.4580755100,3219.8400000000,58.9124662120,360.1515251800,57.9708428460,45.0591773070,99.6048153710,693.0837292100
1962,24.4854684030,72.2129616060,68.9476205870,26.2471815630,5.7143001560,1.5398568307,1.8168088003,37.8221881180,30.9669448510,97.4239564630,170.5581809100,3360.5600000000,58.7522722490,282.4966113500,57.1754266350,44.9912807670,99.8440606290,760.4004327400
1963,28.3031355140,63.9239539310,61.2509688780,30.4026992590,5.7143001560,5.6733468108,6.6191074850,40.3829148850,33.1628422710,86.1314776670,160.6110019600,3486.1600000000,58.7960971620,66.9926056960,54.4478531290,45.8024226510,99.9039524050,914.9532207800
1964,29.5768790630,61.5912843030,59.1417941660,32.7400231990,5.7143001560,5.6686924980,6.5556423351,43.1768771490,35.5624978480,85.1734304870,160.7774094700,3596.6400000000,59.0942676900,68.4742236230,54.7408286260,46.7276438130,99.5725916920,1014.0071499000
1965,32.9398446850,57.3053063250,56.9855764680,37.4473283550,5.7143001560,5.2473653201,6.1065516587,40.9337717210,34.8646223760,78.7500274860,143.7207867700,3692.0000000000,58.5425235130,70.7302435840,54.4049756930,46.5198462190,100.0000000000,1211.9787820000
1966,32.8998804950,63.2317432420,62.1109409650,31.1588867260,5.7143001560,5.6093700316,6.3262890535,34.7559079430,29.4302416530,82.1853980220,158.2408336100,3772.2400000000,54.4847359560,67.5547873860,50.4096178610,40.2286028300,100.0000000000,1309.9393594000
1967,33.4895422490,61.8663803360,62.8006164870,32.2266493530,5.7431578640,5.9069703117,6.7679490217,27.6048828320,24.2515408820,86.8590186510,159.4930977700,3837.3600000000,54.9646998710,66.3489988900,50.4268040990,36.8496728360,100.0000000000,1388.1511127000
1968,33.1769242160,64.7402552260,65.8406446920,29.2228228980,6.0605998040,6.0369218760,6.8106829488,23.8753299590,21.2382887630,95.4960876260,178.1183714800,3887.3600000000,50.8931353880,61.4458070320,47.0099577330,32.8302162390,100.0000000000,1487.5280880000
1969,36.0488468690,63.0783528840,64.9566035590,30.9978196580,6.0605998040,5.9238274578,6.6665077842,22.1957143200,19.8882441320,97.9936538010,184.1314162500,3922.2400000000,50.2457274760,57.8276607430,46.9662868730,34.7475940000,100.0000000000,1733.9912433000
1970,39.5112107470,63.3811451220,65.1983932240,30.6940474810,6.0605998040,5.9248073967,6.4681563523,23.0207966650,20.6806374500,99.4704930460,181.4903426400,3942.0000000000,49.8192187480,58.2864365720,48.7601570870,43.3925795080,100.0000000000,1975.6664970000
1971,41.1560147410,64.3451747190,66.4215921020,29.9850015590,5.9774332050,5.6698237219,6.0479940716,25.8315261080,23.4533741260,99.2415594690,177.4913229700,4012.1600000000,50.4696452560,57.9960616750,50.1117190890,47.4895877410,100.0000000000,2207.6881162000
1972,43.2723415220,61.8422310470,65.1645316940,32.6045112640,5.6414170270,5.5532576884,5.9227451608,24.6853301440,23.1132243370,95.9147879830,163.8444988900,4089.0400000000,55.0356959140,64.2607210910,54.9074480730,52.4820291070,100.0000000000,2524.3092466000
1973,44.5681445210,63.2341358210,65.7553886440,31.2155613120,5.1465001110,5.5503028666,5.7697377589,24.9513998530,22.9288988270,94.2815710830,167.1978195200,4172.6400000000,67.6634011350,74.5330159560,66.3749056080,61.2947543890,100.0000000000,2879.4681627000
1974,43.6994517220,63.3558192580,64.1522939780,30.4460506520,5.0315828320,6.1981300908,6.1724094559,25.7530829250,22.6719085100,87.1532735940,171.1151329400,4262.9600000000,73.0468693000,78.6501344410,72.1002502720,68.1950534280,100.0000000000,3032.6354682000
1975,45.0489204370,62.5755587410,65.2353276150,31.0230319010,4.9351668360,6.4014093582,6.5399967471,25.5677469820,22.7949603270,88.4267922060,163.7458146800,4360.0000000000,69.7618049510,75.1520752750,67.8372637760,61.2956493650,100.0000000000,3374.3775371000
1976,50.4607424830,56.5318736910,61.2092098470,37.7969115260,4.9047498700,5.6712147837,6.0219734977,27.2249681070,25.3937614820,96.5461768250,170.4960821400,4443.0000000000,70.1140012510,77.6202155970,68.9369798620,64.6841293560,100.0000000000,4177.1034548000
