YEAR,CGPD RELATIVE TO THE UNITED STATES (unit US=100),CONSUMPTION SHARE OF CGPD (unit %),CONSUMPTION SHARE OF RGDPL (unit %),CURRENT SAVINGS (unit %),EXCHANGE RATE (unit US=1),GOVERNMENT SHARE OF CGDP (unit %),GOVERNMENT SHARE OF RGDPL (unit %),INVESTMENT SHARE OF CGDP (unit %),INVESTMENT SHARE OF RGDPL (unit %),OPENNESS IN CONSTANT PRICES (unit %),OPENNESS IN CURRENT PRICES (unit %),POPULATION (unit 000S),PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1950,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,
1961,20.256019752,65.968028797,84.077038166,25.056778929,0.419999987,8.9751922746,14.360422684,18.187470823,19.338500579,73.13900233,33.374210926,4277.37,30.415569761,64.070035131,34.057919501,32.458693526,99.856768256,594.56715746
1962,18.83830706,60.502391199,78.355410105,30.05393054,0.419999987,9.4436782612,15.113407276,24.390945651,27.087733691,73.960634123,32.376941407,4350.81,30.445640641,62.224993855,34.574065341,34.108855568,99.193990769,585.02686593
1963,19.391907695,59.905531068,75.52616558,31.31434334,0.419999987,8.7801255919,13.478513864,25.41037561,27.456574111,68.334946813,29.668713337,4436.64,33.900221799,63.101045389,36.916491444,34.979785035,98.780559206,626.88066467
1964,18.467345166,58.134827842,72.610500664,32.739817828,0.446249992,9.1253543302,13.726818589,27.343548075,29.294338956,73.762142255,31.694725677,4530.84,33.184628548,60.360867792,35.761778709,33.031583531,98.588511574,633.13035831
1965,18.016733574,60.00716341,76.206713194,30.800609637,0.524999976,9.1922269532,13.661409157,26.149446846,28.443676742,73.179266277,33.442244859,4630,28.120064287,53.335522291,32.289701134,34.459923529,97.539880838,662.90230026
1966,17.349583121,57.517317356,72.735067646,32.328167172,0.524999976,10.154515472,14.743697724,24.770985104,27.003542369,74.293898516,34.528819762,4731.4,29.180921453,45.339113219,31.848963433,32.513962523,97.438249072,690.78979795
1967,16.777990547,56.550958749,72.481715467,32.419734098,0.524999976,11.029307153,15.955845175,25.735523572,28.547345365,78.763757035,35.736842105,4832.92,30.995851996,40.592190731,32.302674883,31.62168896,96.596491228,695.45251093
1968,16.58319287,54.72200164,65.541070313,33.957402637,0.524999976,11.320595723,15.040984929,23.874291456,25.011084153,66.989652381,31.78610632,4933.13,30.16820727,50.138557004,33.115961352,31.800784316,95.891494854,743.52779126
1969,16.686103136,57.231688062,67.604601886,31.827466645,0.524999976,10.940845294,14.12354139,22.362020691,22.984502125,64.621906259,34.80507974,5031.21,28.269321784,50.916301043,31.942931817,32.06198215,95.673365623,802.62086685
1970,16.013538084,67.826070882,72.520892063,19.487610205,0.524999976,12.686318914,14.395659437,22.240389453,20.767089131,68.244879062,46.744309158,5127,33.464673626,46.594065747,35.058130562,33.337359001,95.897300159,800.7198487
1971,16.591691773,66.660236672,69.451663419,20.953263497,0.522916675,12.386499831,13.335610582,21.282360196,19.502826611,72.152898128,48.536088916,5208.17,34.441778775,45.963994687,36.354799444,36.754102677,96.640944167,890.01039061
1972,18.219478595,64.850460424,68.411582747,23.473672394,0.477083296,11.675867182,12.466794793,22.864773078,21.432801172,76.4688976,50.088994476,5294.36,38.076686508,49.641473115,39.764184925,39.506545992,96.627634762,1062.8405274
1973,17.876300145,70.393102805,75.236113254,17.728467748,0.421595812,11.878429447,12.691556762,18.084586918,17.081002528,69.717812025,52.471119604,5388.74,39.847292939,55.9549581,43.87727233,51.630770709,95.596290679,1154.9558028
1974,19.866764186,65.041027117,74.146003925,23.389226711,0.436508298,11.569746172,12.971570225,20.229903801,20.050598984,78.043927341,67.573329888,5493.74,41.610853113,53.513338635,46.814768239,59.714840735,96.446565336,1378.7050257
1975,21.269976709,70.351204992,78.364025073,17.121897504,0.402266711,12.526897503,13.674534102,18.99395447,18.09376128,75.242492035,63.960032158,5611,40.776423562,56.495466821,48.424804827,71.430676687,96.864588148,1593.2220112
1976,20.236143604,71.248279549,76.132255234,15.372249696,0.428775012,13.379470755,14.020793689,20.302411969,18.68866212,80.158475327,63.098814929,5742.3,38.882584102,53.114389039,46.86699828,70.770019863,95.74754585,1675.1332066
1977,19.713021967,74.619076417,79.748086325,11.230257021,0.428950012,14.150666562,14.52174578,19.661298583,18.274344512,85.718587251,67.594324559,5889.6,39.853943375,55.114794963,48.19529489,74.872495565,96.103839603,1800.2118259
1978,19.563450504,73.619567355,79.737017871,12.676500923,0.416170806,13.703931722,14.300578451,20.450564613,19.161556423,87.620133833,69.700874914,6049.4,40.668872092,58.878775369,49.352035834,74.226506512,96.384720018,1999.1488034
1979,20.569970497,70.894606553,79.347457837,16.61867011,0.406462491,12.486723337,13.561995165,19.606348686,19.092365762,96.769703867,80.94798412,6215.57,40.941210671,60.586389363,49.742742085,74.662195014,96.293642001,2325.1397088
1980,21.943303479,74.320326492,81.918696,12.791212538,0.404954195,12.88846097,13.64706724,18.154858787,17.639286116,90.830217531,85.838155477,6384,42.460663446,57.561944741,51.281599565,82.933229322,96.644545316,2670.5718975
1981,22.177435452,75.500445964,84.214175763,11.210796135,0.493804187,13.288757901,14.186837559,19.677879008,19.474307308,94.963739694,91.210955004,6555.38,34.899777195,47.815869266,42.952594599,70.565551531,96.412782975,2993.3675507
1982,22.622008545,76.816235989,86.453005481,9.1060939643,0.590687513,14.077670047,15.268044417,19.636025667,19.37584158,92.9764912,84.349763175,6729.64,31.156731488,45.101877145,38.428502195,62.091360039,96.380395401,3145.1116876
