"YEAR","Indonesia/CGPD RELATIVE TO THE UNITED STATES (unit US=100)","Indonesia/CONSUMPTION SHARE OF CGPD (unit %)","Indonesia/CONSUMPTION SHARE OF RGDPL (unit %)","Indonesia/CURRENT SAVINGS (unit %)","Indonesia/EXCHANGE RATE (unit US=1)","Indonesia/GOVERNMENT SHARE OF CGDP (unit %)","Indonesia/GOVERNMENT SHARE OF RGDPL (unit %)","Indonesia/INVESTMENT SHARE OF CGDP (unit %)","Indonesia/INVESTMENT SHARE OF RGDPL (unit %)","Indonesia/OPENNESS IN CONSTANT PRICES (unit %)","Indonesia/OPENNESS IN CURRENT PRICES (unit %)","Indonesia/POPULATION (unit 000S)","Indonesia/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)","Indonesia/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)","Indonesia/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)","Indonesia/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)","Indonesia/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)","Indonesia/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)"
1950,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,
1960,5.8877527897,68.9218940700,52.5788399030,9.8740698646,0.0754436950,21.2040360650,20.8122689650,6.7232805748,4.2548216648,39.2792934920,26.9371968260,93996.0000000000,38.2607462300,16.8154243880,34.1629316000,46.8662572730,100.9708737900,170.0629724300
1961,5.8143773203,72.8192869240,54.2285806670,7.2731997659,0.0884750180,19.9075133100,18.6113722440,9.4653795870,5.8806650279,43.2501519880,23.6142715840,95922.2800000000,37.3439161020,18.7277919670,34.2445537670,43.0351982560,100.8064516100,170.6671813100
1962,5.8410283284,76.2628486880,60.8989426420,8.5149179207,0.2433038920,15.2222333910,15.0210350530,7.8120222460,5.3494333862,40.2730710070,10.9229099270,97951.3600000000,37.2205517520,12.1570676300,32.5932908930,27.2421624300,101.2775109200,181.3941394000
1963,5.3713241912,76.5673558640,60.3977684490,7.4497300568,0.5758517340,15.9829140790,15.3512581760,6.1438436889,4.1535758888,36.1628132060,19.0259101620,100078.8000000000,36.5411487370,13.6927184070,33.8367370580,52.5368332420,100.6792618800,173.6383718400
1964,5.1142590551,73.1508162850,56.4278119520,8.2273100714,1.2272252160,18.6218736430,17.3003355200,6.8490061511,4.5317650325,38.4908923320,26.0860614150,102300.1600000000,36.4991180580,11.9292600480,34.1985455750,70.1755998730,100.2391056300,175.3361210800
1965,4.6412378742,78.4838850290,60.6374946470,7.3668137588,4.0057561200,14.1493012120,12.7932349390,7.2628963817,4.8062205875,37.4519805570,10.9512388970,104611.0000000000,38.7568908520,12.6318342520,34.9637618990,37.4808946380,101.2150238700,170.7683165900
1966,4.2683385070,78.9741266820,57.2578604730,0.6901562963,75.9010936700,20.3357170220,16.9282382030,8.2117228598,5.1323563639,34.9326935870,34.2661154350,107014.2800000000,28.8031060120,9.5214144857,24.1391904490,15.4850134520,100.3797810100,169.9478698800
1967,4.2975881657,82.8184969930,62.3375509450,-0.3920701250,149.5832977000,17.5735731320,14.9301975940,6.3966262495,4.1669433603,36.7417385310,25.1773080570,109512.9600000000,33.5991069770,11.7178625480,30.6603231350,44.6522388990,100.8068121900,178.1362596600
1968,4.6753780603,79.2378190480,61.7759068910,3.3031425603,296.2916870000,17.4590383920,15.0994933960,6.6470196503,4.5327738368,35.9613517810,26.1183913240,112102.6000000000,34.6194299940,12.3392850860,31.7834087450,49.0476217290,100.5608988800,209.6263095900
1969,4.6502202211,79.1138518190,60.5998938870,3.5474964720,326.0000000000,17.3386517090,14.5140188560,8.1135473608,5.4077232991,39.2103209980,23.4576507490,114778.7600000000,36.5472466820,13.1616359060,34.2785447610,57.2836462170,100.6522663700,223.6809729900
1970,4.9845852216,72.6447025480,56.1975560530,8.2930182905,362.8333130000,19.0622791620,15.6501233800,9.8244987216,6.6372876624,41.9682849650,28.4174702210,117537.0000000000,35.4848140930,13.9177875940,33.1725020230,53.4342502110,100.4258506400,249.2426285600
1971,5.0719318409,70.2935332560,54.7225643700,10.0019926020,391.8750000000,19.7044741420,15.8512830110,11.0094842060,7.5384144415,47.0219829740,31.1289072590,120389.2880000000,31.8092408710,12.9686800500,30.1585149720,50.3848305450,100.0732933500,272.0682194800
1972,4.9615982437,65.6171799440,50.1070243920,13.7299790480,415.0000000000,20.6528410080,15.9628320200,12.3384941050,8.3721822627,52.2865163000,33.6240913810,123360.0640000000,33.9406330460,13.0054933210,32.4952476790,57.4315716510,98.7444223660,289.4368061400
1973,5.1826880277,61.2005558820,47.4996875210,15.2059568930,415.0000000000,23.5934872250,18.3057342420,12.8176455690,8.7912810631,57.4640101580,39.7583590900,126409.9040000000,44.4631817260,16.6006200290,40.5215445510,65.7326989030,98.2621484020,334.8442106600
1974,6.1855853429,60.0461708910,53.0943975110,22.2182743990,415.0000000000,17.7355547100,15.4232719590,12.8452086990,9.8750139649,61.5231227390,50.2254841280,129499.3520000000,52.1930002300,19.7725657410,49.0211490650,74.5779415090,97.2096110450,429.2645505400
1975,6.6300167326,61.4995365260,54.0782840190,16.9690680820,415.0000000000,21.5313953910,18.5544060230,13.9728134010,10.5075916810,58.2079866320,44.9438202250,132589.0000000000,51.0547254700,20.5652358430,48.8541842470,82.7606177200,97.4695309340,496.6196596000
1976,6.3828660193,60.5223726160,52.0281667380,17.1558869930,415.0000000000,22.3217403910,18.8187157470,14.1589450970,10.4855143560,64.0442385320,45.9327217130,135902.7040000000,57.6638819970,23.0011664030,54.8661187270,93.1425523550,98.7770656930,528.3689931800
1977,6.6295571399,55.9173353650,49.0073051200,20.2205394150,415.0000000000,23.8621252200,20.0814470900,14.6070272450,11.1335945510,63.2884903660,43.9642324890,139096.2880000000,62.9419341200,23.9829341850,57.6003623210,92.0698549620,98.3290514030,605.4174333900
