YEAR,GOVERNMENT SHARE OF RGDPL (unit %),INVESTMENT SHARE OF CGDP (unit %),INVESTMENT SHARE OF RGDPL (unit %),OPENNESS IN CONSTANT PRICES (unit %),OPENNESS IN CURRENT PRICES (unit %),POPULATION (unit 000S),PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1950,,,,,,,,,,,,
1951,,,,,,,,,,,,
1952,,,,,,,,,,,,
1953,,,,,,,,,,,,
1954,,,,,,,,,,,,
1955,,,,,,,,,,,,
1956,,,,,,,,,,,,
1957,,,,,,,,,,,,
1958,,,,,,,,,,,,
1959,,,,,,,,,,,,
1960,8.9113375209,24.304445052,18.378829307,341.82648368,473.85733719,1646,76.8162017,104.51457767,69.569249928,32.789371057,103.04627982,482.54049986
1961,9.1403513378,32.308521762,28.614826885,301.77268631,365.64405513,1702,76.16077335,101.96830113,64.792263516,32.945965783,103.37740905,576.58237725
1962,7.0682082492,23.787373856,21.928250879,212.77292162,207.35820075,1750,88.45595675,99.885429937,76.245979822,33.684112494,103.5247374,830.54666562
1963,6.8768041788,26.054146941,23.272508235,218.60116035,218.40497796,1795,92.301038035,101.23928665,78.223094529,34.614921156,103.62837509,897.87415833
1964,5.8932176895,28.053529993,24.498353287,145.29740549,147.67352191,1842,97.751252057,99.439903681,81.163186534,34.441171743,103.6096186,1051.4761226
1965,8.3991800868,43.36546885,36.341398249,208.14071258,269.03797336,1887,88.118044477,96.243792508,67.805618298,34.257977207,103.25079826,754.74749609
1966,8.6111597815,41.169113793,34.881433515,215.74467878,263.98711733,1934,84.649646922,92.103445831,66.456022883,35.435409168,103.43696581,844.51192536
1967,8.2906883691,40.986921134,34.91962859,202.66557819,244.00959578,1978,81.82246289,88.487424385,64.552694507,34.923446341,102.5343488,959.00820835
1968,8.4335314815,42.74946347,37.023778612,208.67348861,234.31750456,2012,78.5073871,83.797341869,61.860383047,36.057068205,102.0208635,1132.5194443
1969,9.10883038,46.675691786,40.066450559,220.74213687,247.76191994,2043,77.473711456,80.124754329,60.69530508,37.234621954,101.68728783,1322.4432639
1970,9.7826785005,57.646523207,50.065318076,218.05169219,231.59227691,2075,76.812698939,75.718585043,58.831332207,39.460304903,100.96815093,1553.3646385
1971,10.187839972,58.901252184,51.808204743,223.65185362,223.68832886,2113,76.509187143,75.469576362,59.126076956,40.767545164,99.853806247,1794.7728183
1972,10.153867758,55.572853201,49.567130972,216.80678032,239.43624083,2152,80.359824291,78.617845632,65.027036917,48.442635069,99.748629549,2082.1892253
1973,9.4965510323,53.146047139,47.05169236,219.70784076,256.59799388,2193,99.439926247,90.79175395,79.003767702,58.627408801,97.817082687,2409.1268794
1974,8.9213007536,60.065466497,52.897944951,223.89090509,327.79516834,2230,107.63029195,96.309636229,83.764274396,63.144615151,97.219687506,2770.2759178
1975,8.6552132843,53.936570844,46.10402328,171.61084113,302.52026024,2263,100.12031484,95.476986088,79.699706039,59.031496413,100.91869015,3143.1741018
1976,8.4846292486,52.880606291,45.617009598,177.03753072,324.80869916,2293,90.12016182,90.110377742,73.993741823,57.129296623,99.445082027,3494.7838709
1977,8.6637151445,46.92156784,41.031072209,185.16029296,344.27209849,2325,86.309526555,86.251239071,72.327075626,55.732907355,98.832222462,3909.9428287
1978,8.8392882133,50.317074048,43.50678617,190.19141731,356.46985018,2354,90.019742654,89.480526942,74.539436834,57.803829295,99.758839914,4468.6187337
1979,7.9306270286,54.609291586,46.478559889,209.52141739,402.23699315,2384,92.98010138,90.408532573,76.224410112,60.530160389,99.615557176,5193.6125574
1980,7.823137396,57.482760504,48.6526191,229.82291946,439.02882939,2414,97.75796723,91.164156624,79.267314974,63.904853683,95.838300826,6123.8212854
1981,7.5288644403,55.015107542,47.510658097,232.40701903,427.94772638,2533,91.120680438,91.303355485,77.634482862,65.349918313,95.627723786,7061.9586205
1982,7.9301807603,56.991339597,50.620968,227.82335166,401.97397523,2647,82.68844813,95.794374914,71.2011165,59.880939682,96.831639721,8100.0600897
1983,8.0247471605,57.058116987,51.921629395,221.5314277,358.34212603,2681,83.785223256,95.243562968,71.175308554,59.753985866,99.146540315,9109.9943252
1984,7.7745906407,57.717056145,52.286960346,221.3819701,341.44888212,2732,83.266428077,93.886896669,70.56244994,59.275962519,101.40082368,9739.0726442
1985,10.029502437,52.655204844,47.392201961,220.87097521,338.00145178,2736,78.261623668,90.479561941,67.08149847,54.172518428,103.16158129,9639.1948834
1986,9.9633116417,47.484051469,42.391531232,242.98392469,333.1471385,2733,76.582206636,84.224576995,65.957699604,52.574545918,102.47080388,9906.1054981
1987,9.1741280449,47.302592349,41.710891902,250.41963587,370.41452402,2775,79.043471846,85.936984172,68.161118792,54.652252287,100.1815092,10788.028891
1988,7.7536385977,40.860986996,36.512719903,290.71753727,403.09800684,2846,80.290413079,92.910330417,72.476887859,60.148893701,101.53922062,12311.258353
1989,7.5477913328,41.534636699,38.042412085,291.63002841,392.65313403,2931,81.711595528,97.202626372,74.305332224,62.469127384,102.65645695,13730.885435
1990,7.6101539322,44.303960337,40.755309269,301.31485534,401.1652211,3047,90.184094967,99.441221458,79.958653439,66.775909869,102.74432939,14902.419985
1991,7.8241311868,42.064887887,40.05281738,310.99798296,375.50315045,3136,93.079550874,106.65532361,82.538666915,68.248882314,101.7684384,16556.444328
1992,7.3960753959,42.607229427,41.431404581,311.33187391,360.91760616,3232,97.30562829,110.3168966,87.900251223,75.169578476,103.15372075,17242.913608
1993,7.5051286259,44.317972384,42.986445184,320.57904438,352.75105556,3315,100.99953369,111.21850557,89.979466715,76.52054459,100.33801064,19410.355763
1994,6.9833036323,39.923135548,41.20546098,336.50569535,332.54424289,3421,106.87259481,120.39393567,95.366599913,80.113914356,102.23478351,21361.864544
1995,7.1408010513,41.318090284,42.935628405,341.02837772,340.62888229,3526,115.27078764,125.67793617,101.32077638,84.915814403,102.74377089,23306.604575
